"","species","latitude","longitude"
"177","Callitriche cophocarpa Sendtner",58.27485,16.632155
"178","Callitriche cophocarpa Sendtner",57.939976,15.065861
"179","Callitriche cophocarpa Sendtner",58.9372469,16.381067
"180","Callitriche cophocarpa Sendtner",57.0304558833274,14.9488631621818
"181","Callitriche cophocarpa Sendtner",58.3581119,16.244945
"182","Callitriche cophocarpa Sendtner",58.88958,16.436178
"183","Callitriche cophocarpa Sendtner",59.264549,17.0334049
"184","Callitriche cophocarpa Sendtner",55.656382,14.160907
"185","Callitriche cophocarpa Sendtner",60.22148,16.8067959
"186","Callitriche cophocarpa Sendtner",58.250439,13.222276
"187","Callitriche cophocarpa Sendtner",55.71679,13.27302
"188","Callitriche cophocarpa Sendtner",55.8506725,13.6588437
"189","Callitriche cophocarpa Sendtner",59.264549,17.0334049
"190","Callitriche cophocarpa Sendtner",57.9714379,15.045748
"191","Callitriche cophocarpa Sendtner",57.0919119,14.8246485
"192","Callitriche cophocarpa Sendtner",58.730215,14.2333029
"193","Callitriche cophocarpa Sendtner",58.524551,15.80999
"194","Callitriche cophocarpa Sendtner",56.47594,14.14257
"195","Callitriche cophocarpa Sendtner",57.7345729,13.0391809
"196","Callitriche cophocarpa Sendtner",57.8713272556286,16.6056145160717
"197","Callitriche cophocarpa Sendtner",57.7409801128341,16.4768079243538
"198","Callitriche cophocarpa Sendtner",59.792579,17.9760789
"199","Callitriche cophocarpa Sendtner",57.7780569,15.274082
"200","Callitriche cophocarpa Sendtner",58.312271,14.9241879
"201","Callitriche cophocarpa Sendtner",58.581769,13.550439
"202","Callitriche cophocarpa Sendtner",58.934244,16.0995169
"203","Callitriche cophocarpa Sendtner",58.3283109,13.44027
"204","Callitriche cophocarpa Sendtner",57.8521939,12.0577089
"205","Callitriche cophocarpa Sendtner",58.0061329,14.068956
"206","Callitriche cophocarpa Sendtner",58.2354139,12.358069
"207","Callitriche cophocarpa Sendtner",58.202778,12.587607
"208","Callitriche cophocarpa Sendtner",58.9959199,17.1520189
"209","Callitriche cophocarpa Sendtner",58.8824309,16.330393
"210","Callitriche cophocarpa Sendtner",56.3806998,14.0008115
"211","Callitriche cophocarpa Sendtner",58.9287089,16.3630369
"212","Callitriche cophocarpa Sendtner",57.821001,12.417978
"213","Callitriche cophocarpa Sendtner",55.8353339,13.2984131
"214","Callitriche cophocarpa Sendtner",63.892543,19.886886
"215","Callitriche cophocarpa Sendtner",58.3617459,15.821605
"216","Callitriche cophocarpa Sendtner",55.65685,14.16168
"217","Callitriche cophocarpa Sendtner",59.7379,17.7802739
"218","Callitriche cophocarpa Sendtner",58.990015,17.1711169
"219","Callitriche cophocarpa Sendtner",57.8223421060492,14.7012750373668
"220","Callitriche cophocarpa Sendtner",59.8475609,17.498472
"221","Callitriche cophocarpa Sendtner",59.200848,17.719556
"222","Callitriche cophocarpa Sendtner",58.5951499,15.8232579
"223","Callitriche cophocarpa Sendtner",57.763761,12.137506
"224","Callitriche cophocarpa Sendtner",58.9424339,16.343805
"225","Callitriche cophocarpa Sendtner",57.895957,13.470444
"226","Callitriche cophocarpa Sendtner",58.899182,16.244595
"227","Callitriche cophocarpa Sendtner",58.306136,14.833458
"228","Callitriche cophocarpa Sendtner",56.0590309,13.4068349
"229","Callitriche cophocarpa Sendtner",59.1772479,16.282081
"230","Callitriche cophocarpa Sendtner",58.616152,15.852004
"231","Callitriche cophocarpa Sendtner",59.0738139,16.375847
"232","Callitriche cophocarpa Sendtner",60.1102279,15.929735
"233","Callitriche cophocarpa Sendtner",57.1167409,16.5067589
"234","Callitriche cophocarpa Sendtner",63.896954,19.8664039
"235","Callitriche cophocarpa Sendtner",58.582532,15.946974
"236","Callitriche cophocarpa Sendtner",57.10228,14.82865
"237","Callitriche cophocarpa Sendtner",58.7705389,17.3449859
"238","Callitriche cophocarpa Sendtner",58.519213,16.116432
"239","Callitriche cophocarpa Sendtner",56.3159,14.60222
"240","Callitriche cophocarpa Sendtner",58.324627,13.07515
"241","Callitriche cophocarpa Sendtner",59.5174579,14.984977
"242","Callitriche cophocarpa Sendtner",55.9986700836921,14.1636988570287
"243","Callitriche cophocarpa Sendtner",56.8273087090651,14.3474360570241
"244","Callitriche cophocarpa Sendtner",59.076242,17.096584
"245","Callitriche cophocarpa Sendtner",59.0707159,17.0588009
"246","Callitriche cophocarpa Sendtner",62.3247909,16.923919
"247","Callitriche cophocarpa Sendtner",58.8973349,16.392897
"248","Callitriche cophocarpa Sendtner",57.796804,13.601338
"249","Callitriche cophocarpa Sendtner",56.455046,14.4687959
"250","Callitriche cophocarpa Sendtner",57.5466382695073,14.5092104358082
"251","Callitriche cophocarpa Sendtner",58.9372469,16.381067
"252","Callitriche cophocarpa Sendtner",59.195622,16.2655339
"253","Callitriche cophocarpa Sendtner",58.919857,16.261519
"254","Callitriche cophocarpa Sendtner",56.3102689,14.5781569
"255","Callitriche cophocarpa Sendtner",58.9786229,16.382971
"256","Callitriche cophocarpa Sendtner",59.1121709,16.101295
"257","Callitriche cophocarpa Sendtner",59.8252499,17.66873
"258","Callitriche cophocarpa Sendtner",58.918081,16.099903
"259","Callitriche cophocarpa Sendtner",57.4547969,18.366218
"260","Callitriche cophocarpa Sendtner",56.14363,13.79179
"261","Callitriche cophocarpa Sendtner",58.634396,16.7645039
"262","Callitriche cophocarpa Sendtner",59.1559669,18.1387369
"263","Callitriche cophocarpa Sendtner",58.473975,13.873644
"264","Callitriche cophocarpa Sendtner",60.419074,13.2647929
"265","Callitriche cophocarpa Sendtner",58.745669,15.746173
"266","Callitriche cophocarpa Sendtner",57.8476289,13.852579
"267","Callitriche cophocarpa Sendtner",56.9956231943764,14.1598473661448
"268","Callitriche cophocarpa Sendtner",59.070743,17.140574
"269","Callitriche cophocarpa Sendtner",58.4546459,14.168525
"270","Callitriche cophocarpa Sendtner",59.535608,15.762487
"271","Callitriche cophocarpa Sendtner",55.7042156393511,13.1931427697003
"272","Callitriche cophocarpa Sendtner",58.2684679,13.270398
"273","Callitriche cophocarpa Sendtner",57.88454,13.295812
"274","Callitriche cophocarpa Sendtner",57.805463,12.510334
"275","Callitriche cophocarpa Sendtner",55.61736,13.22512
"276","Callitriche cophocarpa Sendtner",57.9315929,15.37048
"277","Callitriche cophocarpa Sendtner",56.7407809,13.98305
"278","Callitriche cophocarpa Sendtner",58.8640929,14.1682919
"279","Callitriche cophocarpa Sendtner",57.9003009,15.8928949
"280","Callitriche cophocarpa Sendtner",58.569498,13.516851
"281","Callitriche cophocarpa Sendtner",58.908934,16.347622
"282","Callitriche cophocarpa Sendtner",61.9756319,16.90659
"283","Callitriche cophocarpa Sendtner",58.9230519,17.230487
"284","Callitriche cophocarpa Sendtner",63.071466,17.837838
